Folder,Train File,Train Unique IDs,Test File,Test Unique IDs
1,202203.csv,32500,202207test.csv,8541
2,202204.csv,33259,202208test.csv,3560
3,202205.csv,31090,202209test.csv,3091
4,202206.csv,30292,202210test.csv,14453
5,202207.csv,27672,202211test.csv,5917
6,202208.csv,26447,202212test.csv,5355
7,202209.csv,28816,202301test.csv,4006
8,202210.csv,29731,202302test.csv,5665
9,202211.csv,19787,202303test.csv,5790
10,202212.csv,20816,202304test.csv,5594
11,202301.csv,21055,202305test.csv,9198
12,202302.csv,25744,202306test.csv,3786
13,202303.csv,24368,202307test.csv,10672
14,202304.csv,29250,202308test.csv,11515
15,202305.csv,35171,202309test.csv,4408
16,202306.csv,30381,202310test.csv,5126
17,202307.csv,31721,202311test.csv,2804
18,202308.csv,19896,202312test.csv,2546
19,202309.csv,14884,202401test.csv,2985
20,202310.csv,13461,202402test.csv,0
21,202311.csv,6681,202403test.csv,0
22,202312.csv,5531,202404test.csv,0
23,202401.csv,2985,202405test.csv,0
